,Seqname,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,hsa-miR-136-5p,0.347826,0.391304,0.26087,0.391304,0.019868,0.025236,0.066461
1,hsa-miR-148a-3p,0.409091,0.272727,0.409091,0.545455,0.080391,0.055964,0.063959
2,hsa-miR-148b-3p,0.409091,0.409091,0.409091,0.409091,0.001256,0.001256,0.014405
3,hsa-miR-152-3p,0.47619,0.428571,0.571429,0.428571,0.023689,0.01243,0.001528
4,hsa-miR-15a-5p,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
5,hsa-miR-15b-5p,0.409091,0.409091,0.0,0.818182,0.609174,0.55148,0.502446
6,hsa-miR-16-5p,0.454545,0.681818,0.136364,0.545455,0.253076,0.298859,0.251653
7,hsa-miR-195-5p,0.428571,0.428571,0.285714,0.571429,0.083844,0.075032,0.049054
8,hsa-miR-214-3p,0.590909,0.545455,0.681818,0.545455,0.02227,0.009848,0.002233
9,hsa-miR-326,0.7,0.6,0.9,0.6,0.101951,0.124681,0.099874
10,hsa-miR-330-5p,0.590909,0.681818,0.545455,0.545455,0.009848,0.037201,0.053731
11,hsa-miR-34a-5p,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.118814
12,hsa-miR-34c-5p,0.478261,0.391304,0.521739,0.521739,0.028441,0.011452,0.010875
13,hsa-miR-3619-5p,0.681818,0.818182,0.545455,0.681818,0.048712,0.094348,0.125122
14,hsa-miR-370-3p,0.681818,0.409091,0.954545,0.681818,0.263946,0.328894,0.290924
15,hsa-miR-424-5p,0.363636,0.409091,0.136364,0.545455,0.158153,0.144866,0.121134
16,hsa-miR-449a,0.454545,0.272727,0.545455,0.545455,0.098573,0.067298,0.051783
17,hsa-miR-449b-5p,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.011616
18,hsa-miR-497-5p,0.52381,0.714286,0.285714,0.571429,0.144209,0.109698,0.073472
19,hsa-miR-761,0.545455,0.545455,0.681818,0.409091,0.053731,0.059166,0.033107
20,hsa-miR-138-5p,0.565217,0.391304,0.913043,0.391304,0.297639,0.24453,0.209036
21,hsa-miR-149-5p,0.608696,0.521739,0.782609,0.521739,0.075617,0.050757,0.03307
22,hsa-miR-296-3p,0.681818,0.954545,0.409091,0.681818,0.210902,0.184313,0.125122
23,hsa-miR-320b,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.023012
24,hsa-miR-320c,0.5,0.45,0.45,0.6,0.042374,0.026392,0.013324
25,hsa-miR-320d,0.473684,0.315789,0.473684,0.631579,0.114247,0.075122,0.068918
26,hsa-miR-377-3p,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.014405
27,hsa-miR-4429,0.6,0.45,0.75,0.6,0.088634,0.046918,0.099874
28,hsa-miR-485-5p,0.545455,0.409091,0.818182,0.409091,0.184095,0.143907,0.109957
29,hsa-miR-873-5p,0.52381,0.571429,0.857143,0.142857,0.414845,0.375932,0.313846
30,hsa-miR-184,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.118814
31,hsa-miR-31-5p,0.52381,0.714286,0.571429,0.285714,0.126318,0.180401,0.163622
32,hsa-miR-491-5p,0.590909,0.818182,0.409091,0.545455,0.114394,0.187652,0.233903
33,hsa-miR-494-3p,0.454545,0.545455,0.409091,0.409091,0.011616,0.033107,0.055964
34,hsa-miR-141-3p,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
35,hsa-miR-200a-3p,0.409091,0.409091,0.272727,0.545455,0.075222,0.067696,0.04522
36,hsa-miR-495-3p,0.363636,0.136364,0.681818,0.272727,0.266202,0.229074,0.306639
37,hsa-miR-199a-5p,0.521739,0.391304,0.782609,0.391304,0.167705,0.200821,0.156676
38,hsa-miR-199b-5p,0.434783,0.26087,0.652174,0.391304,0.134728,0.194687,0.143361
39,hsa-miR-125a-5p,0.5,0.375,0.5,0.625,0.070648,0.045255,0.050773
40,hsa-miR-125b-5p,0.5,0.545455,0.409091,0.545455,0.023012,0.031808,0.067298
41,hsa-miR-4319,0.588235,0.352941,0.705882,0.705882,0.180009,0.109005,0.08566
42,hsa-miR-1271-5p,0.545455,0.681818,0.409091,0.545455,0.050108,0.031808,0.012266
43,hsa-miR-134-5p,0.590909,0.409091,0.681818,0.681818,0.105319,0.06232,0.050108
44,hsa-miR-3118,0.304348,0.26087,0.26087,0.391304,0.026276,0.018904,0.046326
45,hsa-miR-96-5p,0.391304,0.26087,0.521739,0.391304,0.061387,0.04181,0.067864
46,hsa-miR-106a-5p,0.434783,0.391304,0.782609,0.130435,0.350007,0.31418,0.403252
47,hsa-miR-106b-5p,0.428571,0.571429,0.571429,0.142857,0.183642,0.206569,0.224413
48,hsa-miR-17-5p,0.478261,0.521739,0.782609,0.130435,0.343747,0.31418,0.403252
49,hsa-miR-20a-5p,0.391304,0.391304,0.782609,0.0,0.502382,0.460746,0.5514
50,hsa-miR-20b-5p,0.478261,0.652174,0.782609,0.0,0.561155,0.491802,0.564682
51,hsa-miR-27a-3p,0.52381,0.428571,0.428571,0.714286,0.122976,0.090851,0.064148
52,hsa-miR-27b-3p,0.47619,0.285714,0.428571,0.714286,0.198003,0.152287,0.129844
53,hsa-miR-384,0.25,0.15,0.6,0.0,0.326655,0.287778,0.364112
54,hsa-miR-433-3p,0.545455,0.272727,0.409091,0.954545,0.507307,0.425537,0.364446
55,hsa-miR-519d-3p,0.5,0.545455,0.545455,0.409091,0.012266,0.011616,0.033107
56,hsa-miR-93-5p,0.521739,0.782609,0.782609,0.0,0.641582,0.563674,0.615154
57,hsa-miR-135a-5p,0.304348,0.391304,0.26087,0.26087,0.012689,0.026276,0.018904
58,hsa-miR-135b-5p,0.347826,0.391304,0.391304,0.26087,0.013344,0.019868,0.025236
59,hsa-miR-139-5p,0.521739,0.652174,0.521739,0.391304,0.037524,0.071454,0.074961
60,hsa-miR-182-5p,0.416667,0.375,0.625,0.25,0.115632,0.100589,0.145416
61,hsa-miR-186-5p,0.409091,0.545455,0.272727,0.409091,0.051783,0.028086,0.014405
62,hsa-miR-196a-5p,0.409091,0.409091,0.545455,0.272727,0.055964,0.051783,0.080391
63,hsa-miR-196b-5p,0.454545,0.409091,0.545455,0.409091,0.021386,0.011616,0.033107
64,hsa-miR-216a-5p,0.454545,0.545455,0.409091,0.409091,0.011616,0.033107,0.021386
65,hsa-miR-340-5p,0.272727,0.272727,0.272727,0.272727,0.000558,0.000558,0.000558
66,hsa-miR-371a-5p,0.55,0.75,0.6,0.3,0.138293,0.201536,0.18169
67,hsa-miR-544a,0.318182,0.681818,0.0,0.272727,0.350331,0.429847,0.389779
68,hsa-miR-758-3p,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.131184
69,hsa-miR-200b-3p,0.363636,0.272727,0.136364,0.681818,0.306639,0.266202,0.229074
70,hsa-miR-200c-3p,0.434783,0.391304,0.26087,0.652174,0.156676,0.134728,0.104302
71,hsa-miR-429,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.014405
72,hsa-miR-129-5p,0.571429,0.571429,0.571429,0.571429,0.002716,0.013163,0.025667
73,hsa-miR-335-5p,0.304348,0.26087,0.521739,0.130435,0.1285,0.113264,0.06671
74,hsa-miR-378a-3p,0.545455,0.681818,0.681818,0.272727,0.159236,0.188554,0.157571
75,hsa-miR-378b,0.526316,0.631579,0.789474,0.157895,0.339649,0.342815,0.280339
76,hsa-miR-378c,0.52,0.72,0.6,0.24,0.176208,0.219759,0.19579
77,hsa-miR-378d,0.45,0.6,0.6,0.15,0.202459,0.229375,0.185866
78,hsa-miR-378e,0.526316,0.631579,0.631579,0.315789,0.088647,0.116632,0.093794
79,hsa-miR-378f,0.55,0.6,0.9,0.15,0.458969,0.432007,0.369784
80,hsa-miR-378h,0.52381,0.571429,0.714286,0.285714,0.142889,0.144209,0.109698
81,hsa-miR-378i,0.52381,0.571429,0.714286,0.285714,0.142889,0.144209,0.109698
82,hsa-miR-422a,0.545455,0.545455,0.681818,0.409091,0.053731,0.050108,0.031808
83,hsa-miR-181a-5p,0.478261,0.521739,0.521739,0.391304,0.011452,0.020756,0.028441
84,hsa-miR-181b-5p,0.478261,0.391304,0.521739,0.521739,0.028441,0.011452,0.020756
85,hsa-miR-181c-5p,0.454545,0.681818,0.272727,0.409091,0.118814,0.177696,0.138339
86,hsa-miR-181d-5p,0.434783,0.391304,0.521739,0.391304,0.019406,0.010875,0.029557
87,hsa-miR-346,0.652174,0.782609,0.652174,0.521739,0.033471,0.075275,0.075617
88,hsa-miR-4262,0.470588,0.352941,0.529412,0.529412,0.05318,0.120507,0.146021
89,hsa-miR-29a-3p,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
90,hsa-miR-29b-3p,0.347826,0.391304,0.130435,0.521739,0.143361,0.137394,0.113561
91,hsa-miR-29c-3p,0.363636,0.409091,0.136364,0.545455,0.158153,0.151197,0.123824
92,hsa-miR-130a-3p,0.409091,0.409091,0.409091,0.409091,0.001256,0.014405,0.021943
93,hsa-miR-130b-3p,0.454545,0.545455,0.409091,0.409091,0.011616,0.001256,0.001256
94,hsa-miR-150-5p,0.545455,0.409091,0.818182,0.409091,0.184095,0.143907,0.109957
95,hsa-miR-301a-3p,0.391304,0.391304,0.391304,0.391304,0.001042,0.013344,0.019868
96,hsa-miR-3666,0.52381,0.285714,0.714286,0.571429,0.174604,0.259045,0.317036
97,hsa-miR-4295,0.388889,0.5,0.166667,0.5,0.128798,0.099415,0.073327
98,hsa-miR-454-3p,0.347826,0.26087,0.391304,0.391304,0.025236,0.013344,0.019868
99,hsa-miR-185-5p,0.5,0.409091,0.409091,0.681818,0.109957,0.082332,0.113225
100,hsa-miR-4306,0.470588,0.352941,0.529412,0.529412,0.05318,0.022124,0.020608
101,hsa-miR-455-5p,0.454545,0.545455,0.136364,0.681818,0.286273,0.281007,0.236309
102,hsa-miR-4644,0.434783,0.26087,0.652174,0.391304,0.134728,0.104302,0.067864
103,hsa-miR-24-3p,0.545455,0.545455,0.818182,0.272727,0.233903,0.21495,0.17445
104,hsa-miR-124-3p,0.545455,0.409091,0.681818,0.545455,0.071326,0.040335,0.079408
105,hsa-miR-506-3p,0.47619,0.428571,0.571429,0.428571,0.023689,0.01243,0.037321
106,hsa-miR-539-5p,0.409091,0.681818,0.272727,0.272727,0.151444,0.103026,0.140943
107,hsa-miR-122-5p,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.04522
108,hsa-miR-421,0.434783,0.391304,0.391304,0.521739,0.029557,0.019406,0.010875
109,hsa-miR-505-3p,0.5,0.681818,0.272727,0.545455,0.131184,0.098573,0.16733
110,hsa-miR-374a-5p,0.272727,0.272727,0.136364,0.409091,0.071314,0.064346,0.050384
111,hsa-miR-374b-5p,0.318182,0.409091,0.136364,0.409091,0.083445,0.092106,0.072555
112,hsa-miR-202-3p,0.5,0.6,0.6,0.3,0.080529,0.104167,0.083629
113,hsa-miR-590-3p,0.190476,0.285714,0.285714,0.0,0.085918,0.09113,0.094986
114,hsa-miR-144-3p,0.3,0.6,0.15,0.15,0.191656,0.262928,0.22417
115,hsa-miR-223-3p,0.409091,0.409091,0.272727,0.545455,0.075222,0.067696,0.123824
116,hsa-miR-338-3p,0.409091,0.409091,0.409091,0.409091,0.001256,0.001256,0.014405
117,hsa-miR-542-3p,0.318182,0.272727,0.409091,0.272727,0.020781,0.013663,0.000558
118,hsa-miR-376c-3p,0.380952,0.571429,0.285714,0.285714,0.069637,0.114886,0.090228
119,hsa-miR-221-3p,0.478261,0.26087,0.521739,0.652174,0.157539,0.119116,0.109133
120,hsa-miR-222-3p,0.52381,0.428571,0.428571,0.714286,0.122976,0.090851,0.123329
121,hsa-miR-342-3p,0.521739,0.652174,0.521739,0.391304,0.037524,0.071454,0.074961
122,hsa-miR-376a-3p,0.380952,0.571429,0.285714,0.285714,0.069637,0.114886,0.090228
123,hsa-miR-376b-3p,0.318182,0.409091,0.272727,0.272727,0.013663,0.029292,0.020781
124,hsa-miR-19a-3p,0.347826,0.391304,0.521739,0.130435,0.123786,0.12129,0.083457
125,hsa-miR-19b-3p,0.391304,0.391304,0.652174,0.130435,0.218302,0.200722,0.149239
126,hsa-miR-140-5p,0.454545,0.545455,0.272727,0.545455,0.084608,0.067696,0.04522
127,hsa-miR-365a-3p,0.318182,0.136364,0.409091,0.409091,0.092106,0.072555,0.083445
128,hsa-miR-197-3p,0.590909,0.272727,0.545455,0.954545,0.461203,0.37843,0.335907
129,hsa-miR-206,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.04522
130,hsa-miR-22-3p,0.454545,0.818182,0.136364,0.409091,0.342979,0.445385,0.383965
131,hsa-miR-613,0.45,0.45,0.6,0.3,0.067766,0.062355,0.035429
132,hsa-miR-155-5p,0.375,0.5,0.125,0.5,0.155443,0.167373,0.140609
133,hsa-miR-224-5p,0.44,0.36,0.48,0.48,0.023116,0.010041,0.009579
134,hsa-miR-28-5p,0.454545,0.545455,0.272727,0.545455,0.084608,0.098573,0.067298
135,hsa-miR-3139,0.478261,0.391304,0.26087,0.782609,0.286304,0.245259,0.200821
136,hsa-miR-708-5p,0.478261,0.521739,0.26087,0.652174,0.147027,0.142915,0.106573
137,hsa-miR-1297,0.352941,0.0,0.352941,0.705882,0.480625,0.422362,0.375917
138,hsa-miR-26a-5p,0.409091,0.136364,0.409091,0.681818,0.282626,0.239345,0.219278
139,hsa-miR-26b-5p,0.333333,0.142857,0.285714,0.571429,0.186744,0.155285,0.13522
140,hsa-miR-4465,0.545455,0.545455,0.272727,0.818182,0.285257,0.269366,0.21842
141,hsa-miR-551a,0.571429,0.428571,0.714286,0.571429,0.079276,0.126318,0.093618
142,hsa-miR-551b-3p,0.52381,0.428571,0.571429,0.571429,0.035799,0.073472,0.056697
143,hsa-miR-103a-3p,0.478261,0.521739,0.391304,0.521739,0.020756,0.028441,0.061868
144,hsa-miR-107,0.478261,0.521739,0.391304,0.521739,0.020756,0.028441,0.061868
145,hsa-miR-653-5p,0.380952,0.571429,0.142857,0.428571,0.145964,0.102172,0.079525
146,hsa-miR-143-3p,0.47619,0.714286,0.285714,0.428571,0.129844,0.198003,0.263585
147,hsa-miR-4770,0.444444,0.666667,0.5,0.166667,0.182672,0.248054,0.22182
148,hsa-miR-383-5p,0.454545,0.545455,0.681818,0.136364,0.251653,0.253076,0.202528
149,hsa-miR-410-3p,0.380952,0.285714,0.428571,0.428571,0.031442,0.015596,0.024366
150,hsa-miR-425-5p,0.478261,0.521739,0.391304,0.521739,0.020756,0.028441,0.011452
151,hsa-miR-33a-5p,0.428571,0.428571,0.571429,0.285714,0.061442,0.069637,0.114886
152,hsa-miR-33b-5p,0.5,0.45,0.6,0.45,0.026392,0.053383,0.094036
153,hsa-let-7a-5p,0.363636,0.136364,0.681818,0.272727,0.266202,0.229074,0.166477
154,hsa-let-7b-5p,0.454545,0.272727,0.818182,0.272727,0.326347,0.276119,0.22176
155,hsa-let-7c-5p,0.409091,0.272727,0.681818,0.272727,0.183675,0.151444,0.103026
156,hsa-let-7d-5p,0.409091,0.272727,0.681818,0.272727,0.183675,0.151444,0.103026
157,hsa-let-7e-5p,0.409091,0.136364,0.681818,0.409091,0.251104,0.212283,0.158153
158,hsa-let-7f-5p,0.318182,0.136364,0.681818,0.136364,0.326299,0.28668,0.21199
159,hsa-let-7g-5p,0.363636,0.136364,0.681818,0.272727,0.266202,0.229074,0.166477
160,hsa-let-7i-5p,0.409091,0.136364,0.818182,0.272727,0.428354,0.374203,0.306639
161,hsa-miR-4458,0.473684,0.315789,0.947368,0.157895,0.582877,0.498769,0.42852
162,hsa-miR-4500,0.352941,0.176471,0.705882,0.176471,0.315995,0.262397,0.174828
163,hsa-miR-488-3p,0.380952,0.285714,0.142857,0.714286,0.340559,0.293533,0.250699
164,hsa-miR-98-5p,0.318182,0.136364,0.545455,0.272727,0.144866,0.121134,0.071314
165,hsa-miR-218-5p,0.380952,0.142857,0.428571,0.571429,0.183078,0.149055,0.145964
166,hsa-miR-302a-3p,0.391304,0.652174,0.391304,0.130435,0.194687,0.251653,0.228522
167,hsa-miR-302b-3p,0.347826,0.391304,0.521739,0.130435,0.123786,0.12129,0.149239
168,hsa-miR-302c-3p,0.434783,0.521739,0.521739,0.26087,0.061868,0.076849,0.089055
169,hsa-miR-302d-3p,0.391304,0.521739,0.391304,0.26087,0.04181,0.067864,0.061387
170,hsa-miR-302e,0.411765,0.529412,0.352941,0.352941,0.020608,0.056075,0.036268
171,hsa-miR-372-3p,0.478261,0.652174,0.26087,0.521739,0.119861,0.157539,0.119116
172,hsa-miR-373-3p,0.478261,0.782609,0.391304,0.26087,0.200821,0.156676,0.134728
173,hsa-miR-520a-3p,0.454545,0.681818,0.272727,0.409091,0.118814,0.177696,0.138339
174,hsa-miR-520c-3p,0.409091,0.545455,0.409091,0.272727,0.04522,0.075222,0.067696
175,hsa-miR-520d-3p,0.454545,0.681818,0.272727,0.409091,0.118814,0.177696,0.138339
176,hsa-miR-324-5p,0.636364,0.681818,0.545455,0.681818,0.024361,0.02227,0.040335
177,hsa-miR-190a-5p,0.227273,0.136364,0.409091,0.136364,0.081587,0.06903,0.025756
178,hsa-miR-30a-5p,0.454545,0.818182,0.409091,0.136364,0.337933,0.442569,0.428354
179,hsa-miR-30b-5p,0.409091,0.409091,0.545455,0.272727,0.055964,0.051783,0.028086
180,hsa-miR-30c-5p,0.434783,0.521739,0.652174,0.130435,0.229828,0.230931,0.183696
181,hsa-miR-30d-5p,0.5,0.818182,0.409091,0.272727,0.21842,0.31678,0.326347
182,hsa-miR-30e-5p,0.409091,0.681818,0.409091,0.136364,0.212283,0.277861,0.266202
183,hsa-miR-153-3p,0.363636,0.545455,0.272727,0.272727,0.063959,0.103026,0.08182
184,hsa-miR-874-3p,0.772727,0.818182,0.681818,0.818182,0.025989,0.023434,0.008359
185,hsa-miR-101-3p,0.333333,0.285714,0.428571,0.285714,0.022953,0.01475,0.032851
186,hsa-miR-7-5p,0.333333,0.375,0.375,0.25,0.012393,0.018079,0.017272
187,hsa-miR-142-3p,0.347826,0.26087,0.391304,0.391304,0.025236,0.013344,0.012689
188,hsa-miR-210-3p,0.636364,0.681818,0.409091,0.818182,0.166991,0.15166,0.105595
189,hsa-miR-329-3p,0.409091,0.545455,0.545455,0.136364,0.16733,0.18702,0.202528
190,hsa-miR-3529-5p,0.409091,0.136364,0.681818,0.409091,0.251104,0.212283,0.158153
191,hsa-miR-362-3p,0.363636,0.409091,0.409091,0.272727,0.014405,0.021943,0.028086
192,hsa-miR-379-5p,0.47619,0.285714,0.571429,0.571429,0.109698,0.073472,0.056697
193,hsa-miR-18a-5p,0.434783,0.521739,0.782609,0.0,0.514756,0.491802,0.564682
194,hsa-miR-18b-5p,0.434783,0.521739,0.782609,0.0,0.514756,0.491802,0.564682
195,hsa-miR-300,0.454545,0.409091,0.545455,0.409091,0.021386,0.011616,0.033107
196,hsa-miR-381-3p,0.454545,0.272727,0.681818,0.409091,0.148123,0.113225,0.173501
197,hsa-miR-4735-3p,0.333333,0.571429,0.428571,0.0,0.271888,0.311889,0.300166
198,hsa-miR-132-3p,0.5,0.545455,0.409091,0.545455,0.023012,0.031808,0.012266
199,hsa-miR-212-3p,0.571429,0.571429,0.571429,0.571429,0.002716,0.002716,0.002716
200,hsa-miR-194-5p,0.454545,0.0,0.545455,0.818182,0.622245,0.564682,0.50374
201,hsa-miR-216b-5p,0.409091,0.545455,0.272727,0.409091,0.051783,0.080391,0.055964
202,hsa-miR-145-5p,0.521739,0.652174,0.26087,0.652174,0.171406,0.142915,0.106573
203,hsa-miR-382-5p,0.5,0.954545,0.409091,0.136364,0.500772,0.442569,0.391828
204,hsa-miR-328-3p,0.681818,0.818182,0.545455,0.681818,0.048712,0.035809,0.010405
205,hsa-miR-208a-3p,0.363636,0.272727,0.545455,0.272727,0.08182,0.063959,0.103026
206,hsa-miR-208b-3p,0.318182,0.272727,0.545455,0.136364,0.140943,0.123513,0.16802
207,hsa-miR-361-5p,0.454545,0.681818,0.545455,0.136364,0.236309,0.286273,0.281007
208,hsa-miR-499a-5p,0.333333,0.428571,0.285714,0.285714,0.01475,0.032851,0.022953
209,hsa-miR-25-3p,0.5,0.545455,0.545455,0.409091,0.012266,0.011616,0.033107
210,hsa-miR-32-5p,0.318182,0.136364,0.545455,0.272727,0.144866,0.121134,0.166477
211,hsa-miR-363-3p,0.409091,0.136364,0.545455,0.545455,0.202528,0.16733,0.18702
212,hsa-miR-367-3p,0.363636,0.272727,0.409091,0.409091,0.028086,0.014405,0.021943
213,hsa-miR-92a-3p,0.545455,0.409091,0.681818,0.545455,0.071326,0.040335,0.079408
214,hsa-miR-92b-3p,0.636364,0.681818,0.681818,0.545455,0.010405,0.024361,0.035809
215,hsa-miR-192-5p,0.47619,0.428571,0.428571,0.571429,0.037321,0.061442,0.056697
216,hsa-miR-215-5p,0.380952,0.285714,0.285714,0.571429,0.114886,0.090228,0.069637
217,hsa-miR-875-5p,0.363636,0.409091,0.545455,0.136364,0.135542,0.132766,0.164866
218,hsa-miR-411-5p,0.47619,0.285714,0.428571,0.714286,0.198003,0.152287,0.129844
219,hsa-miR-10a-5p,0.434783,0.521739,0.391304,0.391304,0.010875,0.029557,0.019406
220,hsa-miR-10b-5p,0.434783,0.521739,0.391304,0.391304,0.010875,0.029557,0.019406
221,hsa-miR-339-5p,0.652174,0.26087,0.913043,0.782609,0.423108,0.343031,0.303538
222,hsa-miR-125a-3p,0.590909,0.818182,0.545455,0.409091,0.105595,0.180805,0.184095
223,hsa-miR-183-5p,0.409091,0.409091,0.545455,0.272727,0.055964,0.051783,0.080391
224,hsa-miR-193a-3p,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.131184
225,hsa-miR-193b-3p,0.590909,0.272727,0.681818,0.818182,0.311467,0.243466,0.251866
226,hsa-miR-204-5p,0.454545,0.272727,0.545455,0.545455,0.098573,0.067298,0.084608
227,hsa-miR-211-5p,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.131184
228,hsa-miR-431-5p,0.571429,0.857143,0.714286,0.142857,0.425508,0.504271,0.442082
229,hsa-miR-496,0.409091,0.681818,0.409091,0.136364,0.212283,0.277861,0.266202
230,hsa-miR-205-5p,0.545455,0.545455,0.545455,0.545455,0.002233,0.002233,0.012266
231,hsa-miR-448,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
232,hsa-miR-21-5p,0.363636,0.272727,0.136364,0.681818,0.306639,0.266202,0.229074
233,hsa-miR-590-5p,0.363636,0.681818,0.272727,0.136364,0.229074,0.166477,0.144866
234,hsa-miR-543,0.454545,0.272727,0.681818,0.409091,0.148123,0.113225,0.173501
235,hsa-miR-128-3p,0.47619,0.428571,0.571429,0.428571,0.023689,0.01243,0.001528
236,hsa-miR-23a-3p,0.47619,0.285714,0.571429,0.571429,0.109698,0.073472,0.093618
237,hsa-miR-23b-3p,0.478261,0.26087,0.652174,0.521739,0.142915,0.106573,0.147027
238,hsa-miR-23c,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.011616
239,hsa-miR-100-5p,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.023012
240,hsa-miR-615-3p,0.636364,0.545455,0.818182,0.545455,0.083124,0.054653,0.037201
241,hsa-miR-99a-5p,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.023012
242,hsa-miR-99b-5p,0.636364,0.681818,0.545455,0.681818,0.024361,0.02227,0.009848
243,hsa-miR-599,0.35,0.6,0.3,0.15,0.145396,0.088615,0.07904
244,hsa-miR-191-5p,0.521739,0.391304,0.652174,0.521739,0.064514,0.106573,0.147027
245,hsa-miR-450a-5p,0.318182,0.409091,0.136364,0.409091,0.083445,0.092106,0.072555
246,hsa-miR-133a-3p,0.545455,0.954545,0.545455,0.136364,0.485837,0.619779,0.560413
247,hsa-miR-133b,0.5,0.818182,0.545455,0.136364,0.342478,0.430526,0.400302
248,hsa-miR-154-5p,0.5,0.681818,0.272727,0.545455,0.131184,0.17445,0.130192
249,hsa-miR-146a-5p,0.409091,0.409091,0.409091,0.409091,0.001256,0.001256,0.014405
250,hsa-miR-146b-5p,0.434783,0.391304,0.521739,0.391304,0.019406,0.010875,0.001042
251,hsa-miR-490-3p,0.590909,1.090909,0.545455,0.136364,0.666386,0.619779,0.560413
252,hsa-miR-4725-5p,0.666667,0.428571,0.857143,0.714286,0.182356,0.117435,0.095371
253,hsa-miR-504-5p,0.545455,0.545455,0.681818,0.409091,0.053731,0.050108,0.031808
254,hsa-miR-299-3p,0.454545,0.409091,0.545455,0.409091,0.021386,0.011616,0.033107
255,hsa-miR-9-5p,0.347826,0.391304,0.130435,0.521739,0.143361,0.137394,0.226128
256,hsa-miR-3167,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.072555
257,hsa-miR-876-5p,0.363636,0.0,0.545455,0.545455,0.343673,0.312363,0.254566
258,hsa-miR-486-5p,0.636364,0.681818,0.681818,0.545455,0.010405,0.024361,0.02227
259,hsa-miR-487b-3p,0.454545,0.272727,0.818182,0.272727,0.326347,0.276119,0.385493
260,hsa-miR-503-5p,0.565217,0.521739,0.391304,0.782609,0.162968,0.137778,0.097623
261,hsa-miR-451a,0.363636,0.409091,0.409091,0.272727,0.014405,0.021943,0.028086
262,hsa-miR-219a-5p,0.380952,0.142857,0.571429,0.428571,0.167191,0.13554,0.092204
263,hsa-miR-4782-3p,0.318182,0.409091,0.409091,0.136364,0.072555,0.083445,0.064346
264,hsa-miR-127-3p,0.590909,0.681818,0.545455,0.545455,0.009848,0.037201,0.053731
265,hsa-miR-126-3p,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.04522
